7 7 ade4 0.31043975
7 7 FAMD 0.289301
7 7 PCAmixdata 0.31801795
7 7 PCA_1hot 0.2350126
7 14 ade4 0.5051694
7 14 FAMD 0.4640805
7 14 PCAmixdata 0.479039
7 14 PCA_1hot 0.2623432
7 21 ade4 0.54810065
7 21 FAMD 0.51361905
7 21 PCAmixdata 0.5180434
7 21 PCA_1hot 0.28110145
14 7 ade4 1.16800655
14 7 FAMD 1.1159052
14 7 PCAmixdata 0.898772800000001
14 7 PCA_1hot 0.63672065
14 14 ade4 1.311183
14 14 FAMD 1.1817321
14 14 PCAmixdata 0.94976015
14 14 PCA_1hot 0.71307355
14 21 ade4 1.34380835
14 21 FAMD 1.15324725
14 21 PCAmixdata 0.954691300000001
14 21 PCA_1hot 0.702283000000001
21 7 ade4 2.3530005
21 7 FAMD 2.32085595
21 7 PCAmixdata 1.64562045
21 7 PCA_1hot 1.42243845
21 14 ade4 2.6017885
21 14 FAMD 2.3828587
21 14 PCAmixdata 1.66588195
21 14 PCA_1hot 1.29325835
21 21 ade4 2.70723815
21 21 FAMD 2.47126345
21 21 PCAmixdata 1.73122995
21 21 PCA_1hot 1.54931345
